sweep,condition,pretrain_domain_count,pretrain_ticks,metric,delta,d,p
domain_count,one_domain,1,20,first_task_success_tick,0.305,0.037511,0.595776
domain_count,one_domain,1,20,task_completion_rate,-0.045,-0.066694,0.345581
domain_count,one_domain,1,20,reward,-0.13915,-0.045713,0.51797
domain_count,one_domain,1,20,invalid_actions,-0.09,-0.051221,0.468833
domain_count,one_domain,1,20,prediction_error,-0.01727,-0.04265,0.546402
domain_count,one_domain,1,20,transfer_uses,9.44,1.630888,0.0
domain_count,one_domain,1,20,transfer_precision,0.384507,0.807517,0.0
domain_count,two_domains,2,20,first_task_success_tick,-0.565,-0.072346,0.306246
domain_count,two_domains,2,20,task_completion_rate,-0.005,-0.007019,0.920934
domain_count,two_domains,2,20,reward,0.0639,0.02011,0.776104
domain_count,two_domains,2,20,invalid_actions,-0.05,-0.027424,0.698138
domain_count,two_domains,2,20,prediction_error,0.003465,0.008483,0.904513
domain_count,two_domains,2,20,transfer_uses,26.74,3.411715,0.0
domain_count,two_domains,2,20,transfer_precision,0.417491,0.966556,0.0
domain_count,three_domains,3,20,first_task_success_tick,-6.345,-0.770093,0.0
domain_count,three_domains,3,20,task_completion_rate,0.295,0.44464,0.0
domain_count,three_domains,3,20,reward,1.51385,0.506088,0.0
domain_count,three_domains,3,20,invalid_actions,-0.235,-0.133142,0.059713
domain_count,three_domains,3,20,prediction_error,0.192139,0.513099,0.0
domain_count,three_domains,3,20,transfer_uses,48.075,2.973911,0.0
domain_count,three_domains,3,20,transfer_precision,0.419451,0.955852,0.0
domain_count,same_domain,1,20,first_task_success_tick,-0.525,-0.063521,0.369017
domain_count,same_domain,1,20,task_completion_rate,-0.025,-0.036595,0.604789
domain_count,same_domain,1,20,reward,-0.04095,-0.013339,0.850372
domain_count,same_domain,1,20,invalid_actions,-0.175,-0.096616,0.171827
domain_count,same_domain,1,20,prediction_error,-0.069987,-0.182467,0.009867
domain_count,same_domain,1,20,transfer_uses,5.33,0.98641,0.0
domain_count,same_domain,1,20,transfer_precision,0.027039,0.044468,0.529435
horizon_sweep,grid_h5,1,5,first_task_success_tick,0.555,0.071413,0.312527
horizon_sweep,grid_h5,1,5,task_completion_rate,-0.03,-0.04114,0.560697
horizon_sweep,grid_h5,1,5,reward,-0.0846,-0.026088,0.71217
horizon_sweep,grid_h5,1,5,invalid_actions,0.17,0.088264,0.211944
horizon_sweep,grid_h5,1,5,prediction_error,-0.014072,-0.034162,0.629013
horizon_sweep,grid_h5,1,5,transfer_uses,8.99,1.751949,0.0
horizon_sweep,grid_h5,1,5,transfer_precision,0.386117,0.818844,0.0
horizon_sweep,grid_h10,1,10,first_task_success_tick,0.185,0.022741,0.747755
horizon_sweep,grid_h10,1,10,task_completion_rate,-0.025,-0.035467,0.615965
horizon_sweep,grid_h10,1,10,reward,-0.05425,-0.017231,0.807481
horizon_sweep,grid_h10,1,10,invalid_actions,-0.035,-0.018416,0.794519
horizon_sweep,grid_h10,1,10,prediction_error,-0.011267,-0.02696,0.702998
horizon_sweep,grid_h10,1,10,transfer_uses,9.855,1.831012,0.0
horizon_sweep,grid_h10,1,10,transfer_precision,0.403305,0.8531,0.0
horizon_sweep,grid_h20,1,20,first_task_success_tick,0.505,0.064693,0.360243
horizon_sweep,grid_h20,1,20,task_completion_rate,-0.04,-0.055959,0.428724
horizon_sweep,grid_h20,1,20,reward,-0.1336,-0.042227,0.550392
horizon_sweep,grid_h20,1,20,invalid_actions,0.11,0.054945,0.437131
horizon_sweep,grid_h20,1,20,prediction_error,-0.013545,-0.03217,0.649144
horizon_sweep,grid_h20,1,20,transfer_uses,9.395,1.77584,0.0
horizon_sweep,grid_h20,1,20,transfer_precision,0.383351,0.798315,0.0
horizon_sweep,grid_h50,1,50,first_task_success_tick,0.285,0.03633,0.607407
horizon_sweep,grid_h50,1,50,task_completion_rate,-0.05,-0.071432,0.312397
horizon_sweep,grid_h50,1,50,reward,-0.16745,-0.053689,0.447683
horizon_sweep,grid_h50,1,50,invalid_actions,-0.205,-0.099982,0.157373
horizon_sweep,grid_h50,1,50,prediction_error,-0.019936,-0.049506,0.48385
horizon_sweep,grid_h50,1,50,transfer_uses,9.97,1.849969,0.0
horizon_sweep,grid_h50,1,50,transfer_precision,0.408992,0.907086,0.0
horizon_sweep,grid_h100,1,100,first_task_success_tick,1.875,0.25473,0.000315
horizon_sweep,grid_h100,1,100,task_completion_rate,-0.19,-0.28131,6.9e-05
horizon_sweep,grid_h100,1,100,reward,-0.7859,-0.263808,0.000191
horizon_sweep,grid_h100,1,100,invalid_actions,-0.21,-0.122046,0.08435
horizon_sweep,grid_h100,1,100,prediction_error,-0.116525,-0.305956,1.5e-05
horizon_sweep,grid_h100,1,100,transfer_uses,9.2,1.902806,0.0
horizon_sweep,grid_h100,1,100,transfer_precision,0.408312,0.921817,0.0
