condition,metric,baseline,condition_value,delta,ci_low,ci_high,p,d
grid_h5,first_task_success_tick,11.25,11.805,0.555,-0.5221,1.6321,0.312527,0.071413
grid_h5,task_completion_rate,0.5,0.47,-0.03,-0.131064,0.071064,0.560697,-0.04114
grid_h5,reward,2.5794,2.4948,-0.0846,-0.534035,0.364835,0.71217,-0.026088
grid_h5,invalid_actions,1.845,2.015,0.17,-0.096936,0.436936,0.211944,0.088264
grid_h5,prediction_error,0.368661,0.354589,-0.014072,-0.071162,0.043018,0.629013,-0.034162
grid_h5,transfer_uses,2.675,11.665,8.99,8.27882,9.70118,0.0,1.751949
grid_h5,transfer_precision,0.424986,0.811103,0.386117,0.320765,0.451469,0.0,0.818844
grid_h10,first_task_success_tick,11.25,11.435,0.185,-0.942483,1.312483,0.747755,0.022741
grid_h10,task_completion_rate,0.5,0.475,-0.025,-0.122692,0.072692,0.615965,-0.035467
grid_h10,reward,2.5794,2.52515,-0.05425,-0.490605,0.382105,0.807481,-0.017231
grid_h10,invalid_actions,1.845,1.81,-0.035,-0.298393,0.228393,0.794519,-0.018416
grid_h10,prediction_error,0.368661,0.357394,-0.011267,-0.069184,0.046651,0.702998,-0.02696
grid_h10,transfer_uses,2.675,12.53,9.855,9.109056,10.600944,0.0,1.831012
grid_h10,transfer_precision,0.424986,0.828292,0.403305,0.337785,0.468826,0.0,0.8531
grid_h20,first_task_success_tick,11.25,11.755,0.505,-0.576865,1.586865,0.360243,0.064693
grid_h20,task_completion_rate,0.5,0.46,-0.04,-0.139068,0.059068,0.428724,-0.055959
grid_h20,reward,2.5794,2.4458,-0.1336,-0.572092,0.304892,0.550392,-0.042227
grid_h20,invalid_actions,1.845,1.955,0.11,-0.167461,0.387461,0.437131,0.054945
grid_h20,prediction_error,0.368661,0.355116,-0.013545,-0.071897,0.044808,0.649144,-0.03217
grid_h20,transfer_uses,2.675,12.07,9.395,8.66178,10.12822,0.0,1.77584
grid_h20,transfer_precision,0.424986,0.808337,0.383351,0.316799,0.449903,0.0,0.798315
grid_h50,first_task_success_tick,11.25,11.535,0.285,-0.802239,1.372239,0.607407,0.03633
grid_h50,task_completion_rate,0.5,0.45,-0.05,-0.14701,0.04701,0.312397,-0.071432
grid_h50,reward,2.5794,2.41195,-0.16745,-0.599702,0.264802,0.447683,-0.053689
grid_h50,invalid_actions,1.845,1.64,-0.205,-0.489166,0.079166,0.157373,-0.099982
grid_h50,prediction_error,0.368661,0.348725,-0.019936,-0.075745,0.035874,0.48385,-0.049506
grid_h50,transfer_uses,2.675,12.645,9.97,9.223084,10.716916,0.0,1.849969
grid_h50,transfer_precision,0.424986,0.833978,0.408992,0.346502,0.471481,0.0,0.907086
grid_h100,first_task_success_tick,11.25,13.125,1.875,0.854856,2.895144,0.000315,0.25473
grid_h100,task_completion_rate,0.5,0.31,-0.19,-0.283607,-0.096393,6.9e-05,-0.28131
grid_h100,reward,2.5794,1.7935,-0.7859,-1.198776,-0.373024,0.000191,-0.263808
grid_h100,invalid_actions,1.845,1.635,-0.21,-0.448473,0.028473,0.08435,-0.122046
grid_h100,prediction_error,0.368661,0.252136,-0.116525,-0.169308,-0.063741,1.5e-05,-0.305956
grid_h100,transfer_uses,2.675,11.875,9.2,8.529908,9.870092,0.0,1.902806
grid_h100,transfer_precision,0.424986,0.833298,0.408312,0.346923,0.4697,0.0,0.921817
