condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
canonical_roles,first_task_success_tick,11.75,9.41,-2.34,-3.327891,-1.352109,3e-06,-0.328283
canonical_roles,task_completion_rate,0.5,0.56,0.06,-0.025242,0.145242,0.16771,0.097552
canonical_roles,contradictions,1.06,1.125,0.065,-0.127561,0.257561,0.508221,0.046783
canonical_roles,reward,2.5794,2.963,0.3836,0.002271,0.764929,0.048647,0.139418
canonical_roles,invalid_actions,1.845,1.755,-0.09,-0.348142,0.168142,0.494389,-0.04832
canonical_roles,final_energy,97.0489,139.8755,42.8266,40.750694,44.902506,0.0,2.859217
canonical_roles,prediction_error,0.368321,0.428156,0.059835,0.009503,0.110167,0.019802,0.164762
canonical_roles,transfer_uses,2.675,24.88,22.205,21.392429,23.017571,0.0,3.787306
canonical_roles,transfer_strength,10.475,33.27344,22.79844,20.035115,25.561764,0.0,1.143442
canonical_roles,transfer_precision,0.424986,0.840115,0.415129,0.353307,0.476951,0.0,0.930636
shuffled_target_role_hints,first_task_success_tick,11.75,10.055,-1.695,-2.718475,-0.671525,0.001171,-0.229527
shuffled_target_role_hints,task_completion_rate,0.5,0.57,0.07,-0.019517,0.159517,0.125358,0.108376
shuffled_target_role_hints,contradictions,1.07,1.29,0.22,0.013375,0.426625,0.0369,0.147564
shuffled_target_role_hints,reward,2.57145,2.91195,0.3405,-0.061339,0.742339,0.09675,0.117437
shuffled_target_role_hints,invalid_actions,1.85,2.12,0.27,0.008323,0.531677,0.043141,0.143001
shuffled_target_role_hints,final_energy,97.05245,139.59795,42.5455,40.448439,44.642561,0.0,2.811795
shuffled_target_role_hints,prediction_error,0.365913,0.436167,0.070255,0.01643,0.12408,0.010519,0.180897
shuffled_target_role_hints,transfer_uses,2.68,24.385,21.705,20.886452,22.523548,0.0,3.674994
shuffled_target_role_hints,transfer_strength,14.279,41.774799,27.495799,23.333778,31.657819,0.0,0.915595
shuffled_target_role_hints,transfer_precision,0.403736,0.797629,0.393893,0.330366,0.45742,0.0,0.859333
shuffled_target_universal_ops,first_task_success_tick,11.75,9.35,-2.4,-3.375657,-1.424343,1e-06,-0.340922
shuffled_target_universal_ops,task_completion_rate,0.5,0.565,0.065,-0.019603,0.149603,0.132103,0.10648
shuffled_target_universal_ops,contradictions,1.075,1.13,0.055,-0.137621,0.247621,0.575719,0.039573
shuffled_target_universal_ops,reward,2.57575,2.98535,0.4096,0.031142,0.788058,0.033898,0.149997
shuffled_target_universal_ops,invalid_actions,1.87,1.76,-0.11,-0.372811,0.152811,0.41201,-0.058008
shuffled_target_universal_ops,final_energy,97.03325,139.89085,42.8576,40.780682,44.934518,0.0,2.859892
shuffled_target_universal_ops,prediction_error,0.369157,0.430852,0.061695,0.011905,0.111485,0.015156,0.171731
shuffled_target_universal_ops,transfer_uses,2.675,24.935,22.26,21.441872,23.078128,0.0,3.770898
shuffled_target_universal_ops,transfer_strength,15.1015,46.232339,31.130839,26.856777,35.404901,0.0,1.009464
shuffled_target_universal_ops,transfer_precision,0.422837,0.839877,0.41704,0.35534,0.478739,0.0,0.936782
shuffled_source_roles,first_task_success_tick,11.75,10.27,-1.48,-2.544866,-0.415134,0.006448,-0.192623
shuffled_source_roles,task_completion_rate,0.5,0.535,0.035,-0.058594,0.128594,0.463589,0.051827
shuffled_source_roles,contradictions,1.06,1.195,0.135,-0.060841,0.330841,0.176665,0.095537
shuffled_source_roles,reward,2.5794,2.778,0.1986,-0.22766,0.62486,0.361143,0.064572
shuffled_source_roles,invalid_actions,1.845,1.915,0.07,-0.184117,0.324117,0.58926,0.038177
shuffled_source_roles,final_energy,97.0489,139.2465,42.1976,40.244239,44.150961,0.0,2.993962
shuffled_source_roles,prediction_error,0.368321,0.411597,0.043276,-0.01255,0.099102,0.128666,0.107437
shuffled_source_roles,transfer_uses,2.675,24.615,21.94,21.090569,22.789431,0.0,3.579723
shuffled_source_roles,transfer_strength,10.475,30.507136,20.032136,16.997965,23.066307,0.0,0.915015
shuffled_source_roles,transfer_precision,0.424986,0.831253,0.406267,0.34454,0.467993,0.0,0.912184
random_compatibility,first_task_success_tick,11.75,8.88,-2.87,-3.895935,-1.844065,0.0,-0.387707
random_compatibility,task_completion_rate,0.5,0.61,0.11,0.020182,0.199818,0.016377,0.169734
random_compatibility,contradictions,1.095,1.28,0.185,-0.014938,0.384938,0.069745,0.128238
random_compatibility,reward,2.5606,3.1306,0.57,0.168136,0.971864,0.005435,0.196579
random_compatibility,invalid_actions,1.885,1.99,0.105,-0.151344,0.361344,0.422074,0.056769
random_compatibility,final_energy,97.0411,139.1371,42.096,40.114838,44.077162,0.0,2.944841
random_compatibility,prediction_error,0.364958,0.467446,0.102488,0.049833,0.155143,0.000136,0.269759
random_compatibility,transfer_uses,2.695,25.255,22.56,21.702877,23.417123,0.0,3.647848
random_compatibility,transfer_strength,26.466948,93.966183,67.499235,60.19995,74.79852,0.0,1.281621
random_compatibility,transfer_precision,0.419504,0.820333,0.400829,0.340025,0.461633,0.0,0.913628
identity_only_compatibility,first_task_success_tick,11.75,8.6,-3.15,-4.140068,-2.159932,0.0,-0.440947
identity_only_compatibility,task_completion_rate,0.5,0.63,0.13,0.045132,0.214868,0.002679,0.212296
identity_only_compatibility,contradictions,1.06,1.13,0.07,-0.123776,0.263776,0.478925,0.050066
identity_only_compatibility,reward,2.5794,3.25805,0.67865,0.295972,1.061328,0.000509,0.245784
identity_only_compatibility,invalid_actions,1.845,1.765,-0.08,-0.337082,0.177082,0.541913,-0.043128
identity_only_compatibility,final_energy,97.0489,139.61455,42.56565,40.562579,44.568721,0.0,2.945127
identity_only_compatibility,prediction_error,0.368321,0.465504,0.097183,0.046583,0.147782,0.000167,0.266185
identity_only_compatibility,transfer_uses,2.675,25.285,22.61,21.773375,23.446625,0.0,3.745508
identity_only_compatibility,transfer_strength,10.475,30.633366,20.158366,17.130497,23.186234,0.0,0.922698
identity_only_compatibility,transfer_precision,0.424986,0.831193,0.406207,0.343218,0.469195,0.0,0.893776
no_role_transfer,first_task_success_tick,11.75,11.425,-0.325,-1.330468,0.680468,0.526384,-0.044798
no_role_transfer,task_completion_rate,0.5,0.515,0.015,-0.081739,0.111739,0.761195,0.02149
no_role_transfer,contradictions,1.055,1.1,0.045,-0.151638,0.241638,0.653763,0.031717
no_role_transfer,reward,2.54155,2.60075,0.0592,-0.372132,0.490532,0.787923,0.019022
no_role_transfer,invalid_actions,1.84,1.72,-0.12,-0.36915,0.12915,0.345164,-0.066752
no_role_transfer,final_energy,97.14305,139.16575,42.0227,40.051849,43.993551,0.0,2.955094
no_role_transfer,prediction_error,0.350611,0.367052,0.01644,-0.036465,0.069346,0.542482,0.043067
no_role_transfer,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_role_transfer,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_role_transfer,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
